year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,3,2020-08-02,S08000015,Under 5,All,All,58,67,-13.4
2020,3,2020-08-02,S08000016,Under 5,All,All,10,16.5,-39.4
2020,3,2020-08-02,S08000017,Under 5,All,All,19,31,-38.7
2020,3,2020-08-02,S08000019,Under 5,All,All,24,61.5,-61
2020,3,2020-08-02,S08000020,Under 5,All,All,62,70.5,-12.1
2020,3,2020-08-02,S08000022,Under 5,All,All,36,37.5,-4
2020,3,2020-08-02,S08000024,Under 5,All,All,97,121.5,-20.2
2020,3,2020-08-02,S08000029,Under 5,All,All,25,52.5,-52.4
2020,3,2020-08-02,S08000030,Under 5,All,All,45,71,-36.6
2020,3,2020-08-02,S08000031,Under 5,All,All,184,226.5,-18.8
2020,3,2020-08-02,S08000032,Under 5,All,All,112,145,-22.8
2020,3,2020-08-02,S92000003,Under 5,All,All,674,905.5,-25.6
2020,3,2020-08-09,S08000015,Under 5,All,All,45,67,-32.8
2020,3,2020-08-09,S08000016,Under 5,All,All,11,21,-47.6
2020,3,2020-08-09,S08000017,Under 5,All,All,11,20,-45
2020,3,2020-08-09,S08000019,Under 5,All,All,26,54.5,-52.3
2020,3,2020-08-09,S08000020,Under 5,All,All,59,61.5,-4.1
2020,3,2020-08-09,S08000022,Under 5,All,All,34,35.5,-4.2
